id,sentiment,call_timestamp,reason,city,state,channel,response_time,call duration in minutes,call_center,Market
PUZ-36272070-9-231624-Ug,Neutral,10/5/2023,Canister Seal Issue,Birmingham,Alabama,Call-Center,Within SLA,12,Baltimore/MD,HOME
YFY-37303548-R-416631-Jx,Very Positive,10/24/2023,Canister Seal Issue,Birmingham,Alabama,Text,Within SLA,12,Baltimore/MD,HOME
RTU-42784668-7-720802-1d,Positive,10/14/2023,Canister Seal Issue,Birmingham,Alabama,Call-Center,Within SLA,6,Los Angeles/CA,HOME
YBU-12220057-e-261998-ao,Negative,10/1/2023,Canister Seal Issue,Huntsville,Alabama,Text,Within SLA,8,Denver/CO,HOME
GSR-70123044-U-201824-89,Negative,10/2/2023,Canister Seal Issue,Birmingham,Alabama,Text,Below SLA,44,Los Angeles/CA,HOME
BUL-00507250-x-137969-fU,Positive,10/30/2023,Canister Seal Issue,Huntsville,Alabama,Call-Center,Within SLA,20,Chicago/IL,HOME
AFH-55414603-N-936348-Ze,Positive,10/30/2023,Canister Seal Issue,Mobile,Alabama,Text,Within SLA,28,Los Angeles/CA,HOME
DZG-41678424-Z-966708-jX,Negative,10/8/2023,Pressure Error Alert,Montgomery,Alabama,Email,Below SLA,42,Chicago/IL,HOME
UGQ-96507005-Q-040284-F9,Negative,10/3/2023,Canister Seal Issue,Birmingham,Alabama,Web,Within SLA,29,Denver/CO,HOME
QRN-03141129-r-408577-6f,Negative,10/4/2023,Canister Seal Issue,Birmingham,Alabama,Email,Below SLA,20,Los Angeles/CA,HOME
HJU-46606265-R-843366-x8,Neutral,10/27/2023,Canister Seal Issue,Montgomery,Alabama,Text,Below SLA,33,Los Angeles/CA,HOME
OEH-52937610-9-849484-z9,Neutral,10/27/2023,Canister Seal Issue,Montgomery,Alabama,Web,Below SLA,33,Los Angeles/CA,HOME
DJQ-29310945-5-162937-RB,Very Positive,10/9/2023,Canister Seal Issue,Huntsville,Alabama,Web,Within SLA,17,Los Angeles/CA,HOME
VFx-05085864-b-521540-6R,Very Negative,10/19/2023,Canister Seal Issue,Montgomery,Alabama,Email,Within SLA,10,Baltimore/MD,HOME
UQF-38212145-Y-994622-aH,Very Positive,10/26/2023,Pressure Error Alert,Birmingham,Alabama,Text,Below SLA,8,Los Angeles/CA,HOME
GSA-63923602-R-955782-VH,Very Negative,10/18/2023,Canister Seal Issue,Birmingham,Alabama,Web,Within SLA,28,Los Angeles/CA,HOME
QUU-04614692-7-234352-8e,Very Positive,10/9/2023,Canister Seal Issue,Birmingham,Alabama,Email,Below SLA,12,Los Angeles/CA,HOME
RYR-11538425-Y-193365-3V,Negative,10/12/2023,Canister Seal Issue,Mobile,Alabama,Call-Center,Below SLA,11,Los Angeles/CA,HOME
UxP-70001502-n-389057-Nz,Very Positive,10/9/2023,Canister Seal Issue,Montgomery,Alabama,Call-Center,Above SLA,43,Los Angeles/CA,HOME
GVE-03830155-e-520362-UQ,Very Negative,10/16/2023,Canister Seal Issue,Tuscaloosa,Alabama,Text,Above SLA,11,Los Angeles/CA,HOME
JXN-11521600-R-132827-Fs,Neutral,10/30/2023,Power Cord issue,Montgomery,Alabama,Call-Center,Below SLA,40,Baltimore/MD,HOME
UUQ-51454342-3-149428-RB,Negative,10/24/2023,Canister Seal Issue,Mobile,Alabama,Text,Within SLA,20,Baltimore/MD,HOME
IRI-18277290-N-817488-HS,Positive,10/9/2023,Pressure Error Alert,Tuscaloosa,Alabama,Text,Below SLA,9,Los Angeles/CA,HOME
BUZ-23004547-x-971946-uy,Neutral,10/22/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,13,Los Angeles/CA,HOME
BUQ-25940779-e-879626-Rb,Positive,10/6/2023,Canister Seal Issue,Birmingham,Alabama,Call-Center,Within SLA,32,Los Angeles/CA,HOME
ExQ-09213232-0-341470-Up,Negative,10/18/2023,Canister Seal Issue,Mobile,Alabama,Call-Center,Within SLA,21,Los Angeles/CA,HOME
UXQ-91365461-R-405649-9y,Very Positive,10/13/2023,Canister Seal Issue,Birmingham,Alabama,Text,Within SLA,13,Los Angeles/CA,HOME
HEG-36251282-W-175240-Rl,Very Negative,10/26/2023,Canister Seal Issue,Montgomery,Alabama,Text,Below SLA,12,Baltimore/MD,HOME
VEG-00813338-w-263242-gr,Neutral,10/6/2023,Canister Seal Issue,Montgomery,Alabama,Text,Within SLA,28,Baltimore/MD,HOME
UNL-76838574-l-089228-Gx,Positive,10/11/2023,Canister Seal Issue,Montgomery,Alabama,Web,Below SLA,45,Baltimore/MD,HOME
BIx-61194027-U-983277-vR,Neutral,10/14/2023,Pressure Error Alert,Montgomery,Alabama,Text,Below SLA,30,Los Angeles/CA,HOME
RAA-88197359-O-806523-xG,Neutral,10/16/2023,Canister Seal Issue,Mobile,Alabama,Email,Within SLA,23,Los Angeles/CA,HOME
UQU-10451131-H-511016-ga,Very Negative,10/1/2023,Power Cord issue,Montgomery,Alabama,Call-Center,Below SLA,41,Los Angeles/CA,home
HYR-63701591-d-633102-On,Very Positive,10/4/2023,Canister Seal Issue,Mobile,Alabama,Email,Within SLA,44,Los Angeles/CA,home
QQV-34929887-2-835903-Go,Neutral,10/22/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,37,Los Angeles/CA,HOME
AYW-33307887-B-158602-1Y,Negative,10/26/2023,Canister Seal Issue,Montgomery,Alabama,Call-Center,Below SLA,23,Denver/CO,HOME
PUA-99411371-9-192614-HV,Negative,10/13/2023,Canister Seal Issue,Birmingham,Alabama,Text,Within SLA,34,Los Angeles/CA,HOME
YLX-08697483-E-548927-x9,Neutral,10/21/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,16,Los Angeles/CA,HOME
xPB-51329531-5-186913-YN,Negative,10/8/2023,Pressure Error Alert,Mobile,Alabama,Web,Within SLA,40,Los Angeles/CA,HOME
ZNB-58248744-E-869217-Dg,Positive,10/2/2023,Canister Seal Issue,Montgomery,Alabama,Call-Center,Above SLA,27,Baltimore/MD,HOME
RVL-97285429-b-783019-h6,Negative,10/15/2023,Power Cord issue,Montgomery,Alabama,Call-Center,Within SLA,6,Los Angeles/CA,HOME
SHI-49400388-R-802737-A1,Negative,10/28/2023,Canister Seal Issue,Montgomery,Alabama,Web,Below SLA,33,Baltimore/MD,HOME
IAS-06724807-4-879847-6X,Negative,10/19/2023,Canister Seal Issue,Montgomery,Alabama,Web,Within SLA,34,Los Angeles/CA,HOME
RUJ-36856841-h-152247-xU,Positive,10/5/2023,Canister Seal Issue,Tuscaloosa,Alabama,Web,Within SLA,26,Baltimore/MD,HOME
LJI-83525755-U-527172-d9,Negative,10/1/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,11,Los Angeles/CA,HOME
SxX-73693755-f-288395-zR,Very Positive,10/29/2023,Canister Seal Issue,Mobile,Alabama,Text,Below SLA,39,Baltimore/MD,HOME
TAA-59316196-f-005360-HO,Very Negative,10/17/2023,Canister Seal Issue,Anniston,Alabama,Call-Center,Within SLA,16,Denver/CO,HOME
RIU-95123803-Z-810459-br,Neutral,10/22/2023,Canister Seal Issue,Mobile,Alabama,Text,Within SLA,33,Baltimore/MD,HOME
HPI-44819604-U-705267-g5,Neutral,10/17/2023,Canister Seal Issue,Birmingham,Alabama,Web,Within SLA,23,Baltimore/MD,HOME
xRN-65129368-7-914412-Gv,Very Positive,10/15/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,35,Chicago/IL,HOME
YRU-82306973-y-050388-6l,Very Negative,10/22/2023,Canister Seal Issue,Montgomery,Alabama,Email,Within SLA,44,Los Angeles/CA,HOME
AOS-15148530-y-411327-Sf,Negative,10/28/2023,Canister Seal Issue,Birmingham,Alabama,Web,Within SLA,12,Denver/CO,HOME
OxU-35185591-a-346427-wU,Negative,10/15/2023,Canister Seal Issue,Mobile,Alabama,Web,Below SLA,39,Chicago/IL,HOME
VET-50696356-r-191044-lW,Very Negative,10/27/2023,Canister Seal Issue,Mobile,Alabama,Text,Within SLA,45,Baltimore/MD,HOME
xNJ-16699501-P-803721-VI,Negative,10/3/2023,Canister Seal Issue,Mobile,Alabama,Web,Below SLA,17,Baltimore/MD,HOME
NOF-44281812-Q-155092-Xo,Neutral,10/11/2023,Canister Seal Issue,Birmingham,Alabama,Web,Within SLA,43,Denver/CO,HOME
UTJ-50996567-j-669678-Ha,Neutral,10/3/2023,Canister Seal Issue,Tuscaloosa,Alabama,Web,Within SLA,7,Baltimore/MD,HOME
WBx-26272017-J-982777-hx,Negative,10/26/2023,Canister Seal Issue,Birmingham,Alabama,Text,Within SLA,32,Baltimore/MD,HOME
TUZ-34106829-3-689598-Fy,Very Negative,10/9/2023,Canister Seal Issue,Huntsville,Alabama,Email,Within SLA,41,Los Angeles/CA,HOME
UVU-92106898-1-319738-Gj,Negative,10/1/2023,Canister Seal Issue,Mobile,Alabama,Email,Within SLA,32,Chicago/IL,HOME
RRG-62432990-d-955744-4x,Positive,10/10/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,19,Los Angeles/CA,HOME
YII-99526087-o-677525-FR,Very Positive,10/15/2023,Canister Seal Issue,Mobile,Alabama,Web,Within SLA,21,Los Angeles/CA,HOME
OYY-60332068-G-329967-yn,Negative,10/4/2023,Canister Seal Issue,Birmingham,Alabama,Web,Below SLA,36,Los Angeles/CA,HOME
IUI-95320390-v-731866-gt,Very Negative,10/15/2023,Pressure Error Alert,Gadsden,Alabama,Email,Within SLA,32,Baltimore/MD,HOME
UNY-47897285-f-054137-ST,Very Negative,10/25/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,22,Los Angeles/CA,HOME
DOR-11939491-3-941115-QR,Neutral,10/7/2023,Canister Seal Issue,Huntsville,Alabama,Email,Within SLA,6,Chicago/IL,HOME
NQQ-66928688-7-140704-ON,Positive,10/26/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,8,Los Angeles/CA,HOME
IZR-44272370-8-640278-JB,Negative,10/28/2023,Canister Seal Issue,Gadsden,Alabama,Call-Center,Below SLA,38,Denver/CO,HOME
VxV-15117845-Y-355148-4H,Negative,10/8/2023,Canister Seal Issue,Mobile,Alabama,Text,Within SLA,39,Baltimore/MD,HOME
JNY-41958551-F-684670-SU,Negative,10/17/2023,Pressure Error Alert,Mobile,Alabama,Email,Within SLA,11,Baltimore/MD,HOME
JEB-04190646-4-813179-5J,Very Positive,10/25/2023,Canister Seal Issue,Tuscaloosa,Alabama,Email,Within SLA,39,Baltimore/MD,HOME
QTD-42744983-q-732599-PP,Neutral,10/19/2023,Power Cord issue,Birmingham,Alabama,Call-Center,Within SLA,12,Los Angeles/CA,HOME
QHF-57318665-x-693096-vx,Very Positive,10/5/2023,Pressure Error Alert,Birmingham,Alabama,Email,Within SLA,17,Baltimore/MD,HOME
URG-86442477-U-566637-av,Very Negative,10/27/2023,Canister Seal Issue,Mobile,Alabama,Text,Within SLA,27,Baltimore/MD,HOME
SPY-50649762-E-641567-uo,Positive,10/1/2023,Canister Seal Issue,Huntsville,Alabama,Text,Below SLA,37,Baltimore/MD,HOME
UXR-71628514-u-004952-yN,Very Positive,10/23/2023,Canister Seal Issue,Birmingham,Alabama,Email,Above SLA,16,Baltimore/MD,HOME
THH-64462172-y-197959-l1,Negative,10/4/2023,Power Cord issue,Birmingham,Alabama,Call-Center,Within SLA,38,Baltimore/MD,HOME
ORN-30936853-U-470431-7F,Very Negative,10/29/2023,Canister Seal Issue,Montgomery,Alabama,Text,Within SLA,17,Los Angeles/CA,HOME
DQU-95184548-U-823543-0N,Neutral,10/9/2023,Canister Seal Issue,Montgomery,Alabama,Text,Within SLA,17,Denver/CO,HOME
QZJ-43833680-X-550850-XL,Neutral,10/29/2023,Canister Seal Issue,Birmingham,Alabama,Text,Above SLA,29,Baltimore/MD,HOME
LDU-46483826-u-157654-U5,Neutral,10/4/2023,Canister Seal Issue,Mobile,Alabama,Web,Below SLA,17,Denver/CO,HOME
TUN-60124583-B-606234-s3,Neutral,10/18/2023,Canister Seal Issue,Birmingham,Alabama,Text,Within SLA,9,Baltimore/MD,HOME
DLB-82012325-O-740758-xy,Positive,10/8/2023,Canister Seal Issue,Birmingham,Alabama,Text,Within SLA,43,Chicago/IL,HOME
RDE-55426188-3-655366-xL,Negative,10/18/2023,Canister Seal Issue,Montgomery,Alabama,Email,Within SLA,27,Denver/CO,HOME
SDS-07909399-1-939940-d3,Neutral,10/6/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,38,Los Angeles/CA,HOME
OJU-04799392-p-436995-ry,Very Negative,10/20/2023,Power Cord issue,Tuscaloosa,Alabama,Call-Center,Below SLA,18,Baltimore/MD,HOME
HZx-94133343-B-757755-uR,Negative,10/9/2023,Canister Seal Issue,Mobile,Alabama,Call-Center,Within SLA,27,Los Angeles/CA,HOME
QEB-38223160-a-055237-qf,Neutral,10/26/2023,Pressure Error Alert,Montgomery,Alabama,Email,Below SLA,14,Denver/CO,HOME
PTV-57601611-r-728233-d6,Negative,10/18/2023,Canister Seal Issue,Mobile,Alabama,Text,Within SLA,34,Los Angeles/CA,HOME
URN-38029147-y-904872-PP,Very Positive,10/13/2023,Canister Seal Issue,Montgomery,Alabama,Call-Center,Below SLA,33,Chicago/IL,HOME
TOB-08025884-Z-552487-jU,Negative,10/11/2023,Canister Seal Issue,Mobile,Alabama,Call-Center,Within SLA,14,Baltimore/MD,HOME
FEZ-40297201-h-424473-pF,Negative,10/24/2023,Canister Seal Issue,Montgomery,Alabama,Web,Within SLA,44,Baltimore/MD,HOME
FXS-00288696-R-832651-ql,Positive,10/3/2023,Canister Seal Issue,Huntsville,Alabama,Web,Below SLA,15,Chicago/IL,HOME
TTB-41698426-D-040835-0o,Neutral,10/29/2023,Pressure Error Alert,Birmingham,Alabama,Text,Within SLA,6,Chicago/IL,HOME
PRD-26799982-7-640461-RD,Negative,10/4/2023,Canister Seal Issue,Montgomery,Alabama,Call-Center,Within SLA,24,Baltimore/MD,HOME
ZQO-87392345-4-479376-Rg,Very Positive,10/7/2023,Pressure Error Alert,Birmingham,Alabama,Web,Below SLA,28,Baltimore/MD,HOME
XYI-12594597-6-296752-vn,Neutral,10/14/2023,Pressure Error Alert,Montgomery,Alabama,Web,Within SLA,6,Chicago/IL,HOME
UIY-75040828-z-231119-sD,Neutral,10/9/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,31,Baltimore/MD,HOME
EEQ-54952722-N-851670-hf,Positive,10/11/2023,Power Cord issue,Birmingham,Alabama,Call-Center,Within SLA,12,Baltimore/MD,HOME
RXA-76112892-A-983706-x4,Negative,10/28/2023,Pressure Error Alert,Birmingham,Alabama,Text,Within SLA,29,Los Angeles/CA,HOME
RSU-33321056-b-872663-1T,Very Negative,10/10/2023,Canister Seal Issue,Anniston,Alabama,Text,Within SLA,42,Los Angeles/CA,HOME
RXV-84622248-5-288477-qZ,Very Positive,10/5/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,42,Los Angeles/CA,HOME
WWZ-24151003-y-951613-tR,Very Positive,10/30/2023,Canister Seal Issue,Mobile,Alabama,Text,Within SLA,43,Baltimore/MD,HOME
JTG-79092804-S-101063-Uo,Negative,10/26/2023,Power Cord issue,Mobile,Alabama,Call-Center,Above SLA,41,Los Angeles/CA,HOME
ZVR-98639358-t-260329-yJ,Negative,10/4/2023,Canister Seal Issue,Mobile,Alabama,Email,Within SLA,28,Chicago/IL,HOME
RST-76966059-6-259005-xh,Very Positive,10/6/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,20,Los Angeles/CA,HOME
HWA-47186420-b-881029-XU,Very Negative,10/23/2023,Canister Seal Issue,Birmingham,Alabama,Web,Within SLA,14,Baltimore/MD,home
VER-33175236-i-986412-Xd,Neutral,10/18/2023,Canister Seal Issue,Birmingham,Alabama,Web,Below SLA,20,Baltimore/MD,home
DSO-39303765-T-406341-vL,Very Negative,10/3/2023,Power Cord issue,Huntsville,Alabama,Call-Center,Above SLA,34,Los Angeles/CA,home
OXH-50716957-5-065960-PD,Negative,10/4/2023,Canister Seal Issue,Montgomery,Alabama,Web,Below SLA,26,Chicago/IL,home
ENA-18612618-R-165854-xF,Negative,10/18/2023,Canister Seal Issue,Mobile,Alabama,Email,Below SLA,5,Los Angeles/CA,home
OJG-62372950-6-327753-9x,Neutral,10/6/2023,Power Cord issue,Birmingham,Alabama,Call-Center,Within SLA,34,Los Angeles/CA,home
RIX-81457274-Z-935722-3u,Negative,10/27/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,39,Los Angeles/CA,home
IJY-59434681-E-842124-GS,Neutral,10/27/2023,Canister Seal Issue,Birmingham,Alabama,Call-Center,Within SLA,10,Chicago/IL,home
BFR-19123449-x-278513-uG,Neutral,10/15/2023,Power Cord issue,Birmingham,Alabama,Call-Center,Below SLA,37,Baltimore/MD,home
ZJB-50828162-B-250662-un,Positive,10/11/2023,Canister Seal Issue,Birmingham,Alabama,Email,Below SLA,9,Baltimore/MD,home
OFO-28092363-R-982084-z7,Neutral,10/24/2023,Canister Seal Issue,Tuscaloosa,Alabama,Text,Above SLA,6,Baltimore/MD,home
XPV-59973899-G-705474-xG,Negative,10/22/2023,Canister Seal Issue,Montgomery,Alabama,Web,Within SLA,27,Los Angeles/CA,home
TOx-91689058-r-834557-Id,Very Negative,10/17/2023,Canister Seal Issue,Huntsville,Alabama,Text,Above SLA,45,Baltimore/MD,home
VEQ-62969845-7-621420-iX,Negative,10/11/2023,Canister Seal Issue,Huntsville,Alabama,Call-Center,Below SLA,16,Denver/CO,HOME
EBR-35673692-H-605222-UU,Negative,10/14/2023,Canister Seal Issue,Mobile,Alabama,Call-Center,Within SLA,37,Los Angeles/CA,HOME
RJO-84147783-t-393483-7a,Negative,10/4/2023,Power Cord issue,Montgomery,Alabama,Call-Center,Below SLA,26,Baltimore/MD,HOME
GLT-71995496-y-532066-UE,Positive,10/7/2023,Canister Seal Issue,Birmingham,Alabama,Web,Within SLA,29,Chicago/IL,HOME
FQL-36304444-r-537745-P2,Negative,10/2/2023,Canister Seal Issue,Gadsden,Alabama,Web,Within SLA,6,Los Angeles/CA,HOME
XQF-37841017-1-581819-rp,Neutral,10/30/2023,Canister Seal Issue,Anniston,Alabama,Call-Center,Within SLA,25,Baltimore/MD,HOME
RUY-28214857-U-658986-4P,Positive,10/26/2023,Canister Seal Issue,Mobile,Alabama,Web,Within SLA,35,Los Angeles/CA,HOME
RNY-19284994-U-272351-Jg,Neutral,10/21/2023,Pressure Error Alert,Mobile,Alabama,Text,Above SLA,35,Los Angeles/CA,HOME
VWH-00843935-u-762745-x6,Negative,10/16/2023,Pressure Error Alert,Huntsville,Alabama,Email,Within SLA,38,Los Angeles/CA,HOME
DHI-84386785-r-339906-S4,Very Negative,10/4/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,29,Los Angeles/CA,HOME
SRB-08563022-Z-126623-ot,Negative,10/23/2023,Canister Seal Issue,Tuscaloosa,Alabama,Email,Above SLA,11,Los Angeles/CA,HOME
xAY-65669374-v-903797-gS,Negative,10/21/2023,Power Cord issue,Birmingham,Alabama,Call-Center,Below SLA,29,Chicago/IL,HOME
JSQ-70461519-R-279399-0N,Positive,10/11/2023,Canister Seal Issue,Montgomery,Alabama,Email,Within SLA,34,Chicago/IL,home
FEY-51825997-U-806396-N1,Negative,10/26/2023,Canister Seal Issue,Huntsville,Alabama,Text,Within SLA,27,Los Angeles/CA,HOME
FYU-13753954-5-407615-uU,Negative,10/18/2023,Canister Seal Issue,Mobile,Alabama,Email,Below SLA,6,Baltimore/MD,HOME
PRX-32751090-t-305525-n0,Very Negative,10/21/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,16,Los Angeles/CA,HOME
EOG-32491537-7-639749-II,Negative,10/12/2023,Canister Seal Issue,Gadsden,Alabama,Email,Within SLA,29,Los Angeles/CA,HOME
WRX-57381747-6-722724-4d,Neutral,10/23/2023,Canister Seal Issue,Montgomery,Alabama,Text,Within SLA,11,Los Angeles/CA,HOME
DTS-27696556-N-454434-bS,Negative,10/11/2023,Pressure Error Alert,Birmingham,Alabama,Text,Within SLA,39,Chicago/IL,HOME
VBP-08435981-W-001700-qU,Positive,10/11/2023,Pressure Error Alert,Birmingham,Alabama,Email,Below SLA,12,Los Angeles/CA,HOME
LTD-17901690-s-757147-G5,Negative,10/4/2023,Power Cord issue,Mobile,Alabama,Call-Center,Below SLA,24,Los Angeles/CA,Home
XFQ-70441241-s-695213-Fe,Positive,10/8/2023,Canister Seal Issue,Birmingham,Alabama,Call-Center,Below SLA,6,Chicago/IL,HOME
YDL-66224772-0-500509-fz,Negative,10/3/2023,Canister Seal Issue,Tuscaloosa,Alabama,Call-Center,Within SLA,26,Chicago/IL,HOME
LOZ-80023290-Q-482347-Js,Negative,10/30/2023,Canister Seal Issue,Birmingham,Alabama,Text,Within SLA,21,Chicago/IL,HOME
ZHO-40258609-7-741951-il,Very Positive,10/28/2023,Canister Seal Issue,Birmingham,Alabama,Call-Center,Within SLA,41,Los Angeles/CA,HOME
ETL-94180818-I-474125-2L,Negative,10/14/2023,Canister Seal Issue,Birmingham,Alabama,Text,Within SLA,13,Chicago/IL,HOME
SOF-62460646-L-736663-F6,Neutral,10/28/2023,Canister Seal Issue,Huntsville,Alabama,Call-Center,Below SLA,24,Los Angeles/CA,HOME
USS-49141907-A-522678-4j,Very Negative,10/2/2023,Pressure Error Alert,Montgomery,Alabama,Text,Within SLA,38,Los Angeles/CA,HOME
LOG-44203396-V-823716-Se,Neutral,10/20/2023,Power Cord issue,Mobile,Alabama,Call-Center,Within SLA,28,Los Angeles/CA,HOME
SxN-81767785-T-547280-OT,Negative,10/12/2023,Canister Seal Issue,Birmingham,Alabama,Call-Center,Within SLA,22,Los Angeles/CA,HOME
FZF-28087292-R-931567-PA,Neutral,10/11/2023,Canister Seal Issue,Mobile,Alabama,Web,Within SLA,30,Chicago/IL,HOME
ERP-26152961-Y-698406-x7,Negative,10/16/2023,Canister Seal Issue,Mobile,Alabama,Email,Within SLA,45,Baltimore/MD,HOME
JPB-62464989-N-016371-r2,Very Negative,10/13/2023,Pressure Error Alert,Birmingham,Alabama,Web,Within SLA,6,Los Angeles/CA,HOME
PDE-03075066-W-221738-jb,Neutral,10/9/2023,Power Cord issue,Montgomery,Alabama,Call-Center,Within SLA,6,Los Angeles/CA,HOME
XOZ-89107247-j-365541-Vr,Neutral,10/8/2023,Canister Seal Issue,Mobile,Alabama,Text,Below SLA,23,Chicago/IL,HOME
FZG-86639086-4-425135-xx,Negative,10/7/2023,Pressure Error Alert,Birmingham,Alabama,Text,Within SLA,22,Denver/CO,HOME
